Age,Name,Archive,N2O_ppb,sd_N2O_ppb,d15Nbulk_permil,sd_d15Nbulk_permil,SP_permil,sd_SP_permil,d18O_permil,sd_d18O_permil
2001,NGRIP 1,firn air,316.1,1.0,6.9,0.1,,,44.5,0.2
2001,NGRIP 1,firn air,315.6,1.0,6.9,0.1,,,44.4,0.2
2001,NGRIP 1,firn air,315.6,1.0,7.1,0.1,,,44.7,0.2
2001,NGRIP 1,firn air,315.8,1.0,7.0,0.1,,,44.5,0.2
1942,NGRIP2,firn air,,,8.7,0.0,17.7,0.2,45.4,0.0
1948,NGRIP2,firn air,,,8.7,0.3,17.2,0.6,45.3,0.2
1965,NGRIP2,firn air,,,8.5,0.2,17.2,0.6,45.2,0.3
1976,NGRIP2,firn air,,,8.2,0.1,17.6,0.6,45.1,0.0
1985,NGRIP2,firn air,,,7.8,0.3,18.0,0.8,44.8,0.2
1990,NGRIP2,firn air,,,7.5,0.1,17.9,0.3,44.6,0.1
1992,NGRIP2,firn air,,,7.5,0.1,17.5,0.3,44.8,0.1
1994,NGRIP2,firn air,,,7.4,0.1,17.7,0.3,44.6,0.1
1995,NGRIP2,firn air,,,7.3,0.1,18.1,0.3,44.5,0.1
1996,NGRIP2,firn air,,,7.4,0.2,17.5,0.6,44.5,0.1
1997,NGRIP2,firn air,,,7.2,0.1,17.8,0.3,44.6,0.1
1998,NGRIP2,firn air,,,7.2,0.0,18.3,0.2,44.5,0.1
1999,NGRIP2,firn air,,,7.1,0.0,18.3,0.2,44.6,0.2
2000,NGRIP2,firn air,,,7.1,0.0,17.5,0.0,44.5,0.0
2001,NGRIP2,firn air,,,7.0,0.1,18.2,0.5,44.5,0.2
1904,SP,firn air,,,9.4,0.3,,,,
1921,SP,firn air,,,9.0,0.2,,,,
1939,SP,firn air,,,8.6,0.5,,,,
1968,SP,firn air,,,8.3,0.4,,,,
1971,SP,firn air,,,7.9,0.2,,,,
1973,SP,firn air,,,8.1,0.1,,,,
1975,SP,firn air,,,8.0,0.1,,,,
1977,SP,firn air,,,8.2,0.0,,,,
1978,SP,firn air,,,8.0,0.4,,,,
1980,SP,firn air,,,8.1,0.2,,,,
1982,SP,firn air,,,7.8,0.2,,,,
1983,SP,firn air,,,8.1,0.2,,,,
1986,SP,firn air,,,7.9,0.1,,,,
1912,Styx,firn air,282.3,0.3,9.0,0.1,20.7,1.0,45.6,0.1
1934,Styx,firn air,286.9,0.3,8.8,0.2,19.1,0.5,45.4,0.5
1978,Styx,firn air,300.0,0.3,8.0,0.1,19.3,1.2,44.9,0.3
1995,Styx,firn air,309.3,0.3,7.5,0.2,18.3,0.7,44.6,0.3
2004,Styx,firn air,317.4,0.3,7.0,0.1,19.0,0.5,44.5,0.3
2008,Styx,firn air,320.1,0.3,6.8,0.0,18.6,0.5,44.1,0.2
2010,Styx,firn air,323.1,0.3,6.6,0.1,21.0,1.5,44.2,0.3
2011,Styx,firn air,323.3,0.3,6.6,0.1,19.1,0.3,44.2,0.1
2012,Styx,firn air,324.0,0.3,6.8,0.2,18.3,0.5,44.3,0.1
2013,Styx,firn air,325.2,0.3,6.6,0.1,18.2,0.5,44.4,0.4
2014,Styx,firn air,325.7,0.3,6.5,0.2,18.5,0.5,44.0,0.2
2014,Styx,firn air,326.7,0.3,6.4,0.1,17.6,0.8,44.3,0.3
2015,Styx,firn air,327.3,0.3,6.6,0.1,18.5,0.4,44.1,0.1
537,Styx_icecore,ice core,257.5,3.4,,,,,,
539,Styx_icecore,ice core,255.6,3.4,,,,,,
553,Styx_icecore,ice core,257.8,3.4,,,,,,
599,Styx_icecore,ice core,258.9,3.4,,,,,,
617,Styx_icecore,ice core,257.4,3.4,,,,,,
641,Styx_icecore,ice core,260.7,3.4,,,,,,
669,Styx_icecore,ice core,259.2,3.4,,,,,,
676,Styx_icecore,ice core,262.8,3.4,,,,,,
687,Styx_icecore,ice core,258.3,3.4,,,,,,
701,Styx_icecore,ice core,257.7,3.4,,,,,,
714,Styx_icecore,ice core,259.8,3.4,,,,,,
752,Styx_icecore,ice core,259.2,3.4,,,,,,
759,Styx_icecore,ice core,258.5,3.4,,,,,,
765,Styx_icecore,ice core,258.5,3.4,,,,,,
783,Styx_icecore,ice core,261.0,3.4,,,,,,
821,Styx_icecore,ice core,263.8,3.4,,,,,,
839,Styx_icecore,ice core,261.1,3.4,,,,,,
854,Styx_icecore,ice core,261.6,3.4,,,,,,
863,Styx_icecore,ice core,264.6,3.4,,,,,,
877,Styx_icecore,ice core,263.8,3.4,,,,,,
897,Styx_icecore,ice core,261.0,3.4,,,,,,
923,Styx_icecore,ice core,261.0,3.4,,,,,,
935,Styx_icecore,ice core,260.3,3.4,,,,,,
945,Styx_icecore,ice core,259.4,3.4,,,,,,
955,Styx_icecore,ice core,264.3,3.4,,,,,,
962,Styx_icecore,ice core,266.6,3.4,,,,,,
975,Styx_icecore,ice core,265.6,3.4,,,,,,
985,Styx_icecore,ice core,263.4,3.4,,,,,,
992,Styx_icecore,ice core,265.2,3.4,,,,,,
1019,Styx_icecore,ice core,265.7,3.4,,,,,,
1046,Styx_icecore,ice core,267.0,3.4,,,,,,
1061,Styx_icecore,ice core,266.7,3.4,,,,,,
1071,Styx_icecore,ice core,268.4,3.4,,,,,,
1082,Styx_icecore,ice core,262.7,3.4,,,,,,
1092,Styx_icecore,ice core,259.4,3.4,,,,,,
1106,Styx_icecore,ice core,258.7,3.4,,,,,,
1118,Styx_icecore,ice core,264.6,3.4,,,,,,
1153,Styx_icecore,ice core,261.7,3.4,,,,,,
1168,Styx_icecore,ice core,262.3,3.4,,,,,,
1171,Styx_icecore,ice core,263.0,3.4,,,,,,
1183,Styx_icecore,ice core,263.7,3.4,,,,,,
1199,Styx_icecore,ice core,262.5,3.4,,,,,,
1220,Styx_icecore,ice core,267.0,3.4,,,,,,
1246,Styx_icecore,ice core,263.5,3.4,,,,,,
